FID,OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,SHAPE_Length,SHAPE_Area
11,6,10002151,BERRYDALE FORESTRY CAMP,6920 STATE HWY 4,JAY,FL,32565,2204,(850) 675-4564,STATE,CLOSED,0,SANTA ROSA,12113,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.pnj.com/story/news/local/escambia-county/2017/03/04/jay-work-camp-eyed-escambia-county-inmates/98687000/,3/4/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html,MEDIUM,-999,0.00661010617094,791.861960747475,2.72034714906e-06
12,7,10003606,MORTON COUNTY CORRECTIONAL CENTER,205 1ST AVE NW,MANDAN,ND,58554,3112,(701) 667-3330,COUNTY,OPEN,-999,MORTON,38059,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.nd.gov/docr/county/jails.html,4/4/2018,IMAGERY,2018/04/04 00:00:00,http://www.co.morton.nd.us/sheriffsoffice,MAXIMUM,35,0.00237695934324,328.93068104229,2.60378262922e-07
13,8,10004073,MOREHOUSE PARISH DETENTION CENTER,6444 PATEY RD,COLLINSTON,LA,71229,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,260,MOREHOUSE,22067,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.louisiana.gov/briefing-book,9/29/2017,IMAGERY,2018/03/15 00:00:00,http://www.mpso.net/mpsocorrectiondivision.html,NOT AVAILABLE,272,0.00447117388692,549.294854067331,8.34824044373e-07
14,9,10005350,CENTRAL JAIL COMPLEX,550 NORTH FLOWER STREET,SANTA ANA,CA,92702,NOT AVAILABLE,(409) 883-1026,COUNTY,OPEN,1471,ORANGE,06059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.ocsd.org/divisions/custody",2/12/2018,IMAGERY,2018/02/12 00:00:00,http://www.ocsd.org/divisions/custody,MAXIMUM,1813,0.00675702199999,805.495600007474,2.29802779218e-06
15,10,10002576,GREEN LAKE COUNTY JUSTICE CENTER,571 COUNTY ROAD A,GREEN LAKE,WI,54941,NOT AVAILABLE,(920) 294-4059,COUNTY,OPEN,-999,GREEN LAKE,55047,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.green-lake.wi.us/departments.html?Department=28,5/8/2018,IMAGERY,2018/05/08 00:00:00,NOT AVAILABLE,MAXIMUM,108,0.0058415325312,760.581071364943,8.84298319257e-07
16,11,10005212,FRANKLIN WORK CAMP,1760 HIGHWAY 67,CARRABELLE,FL,32322,NOT AVAILABLE,(850) 697-1464,STATE,OPEN,221,FRANKLIN,12037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00669582326258,802.075447914976,2.80193985046e-06
17,12,10004340,BINGHAM COUNTY JAIL,501 N MAPLE #408,BLACKFOOT,ID,83221,NOT AVAILABLE,(208) 236-7125,COUNTY,OPEN,-999,BINGHAM,16011,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.bingham.id.us/Sheriff/index.html,2/28/2018,IMAGERY,2018/03/01 00:00:00,http://www.co.bingham.id.us/Sheriff/index.html,NOT AVAILABLE,102,0.00331240244598,428.086150194535,5.01323180312e-07
18,13,10004572,TAYLOR WORK CAMP,8501 HAMPTON SPRINGS ROAD,PERRY,FL,32348,NOT AVAILABLE,(850) 838-8550,STATE,OPEN,401,TAYLOR,12123,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00717786372939,858.763811101599,3.15890338812e-06
19,14,10000332,GRACEVILLE WORK CAMP,5230 EZELL RD,GRACEVILLE,FL,32440,4289,(850) 263-9230,STATE,OPEN,264,JACKSON,12063,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00627622546265,751.043837056224,2.43882915329e-06
20,15,10000361,WALTON WORK CAMP,301 INSTITUTION RD,DEFUNIAK SPRINGS,FL,32433,NOT AVAILABLE,(850) 951-1300,STATE,OPEN,283,WALTON,12131,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00593429863628,709.416942049361,2.17946024038e-06
21,16,10000357,HOLMES WORK CAMP,3182 THOMAS DR,BONIFAY,FL,32425,4238,(850) 547-8911,STATE,OPEN,328,HOLMES,12059,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00601888361048,723.571193281593,2.26268170883e-06
22,17,10000391,"LIBERTY WORK CAMP, SOUTH UNIT",11064 NW DEMPSEY BARRON RD,BRISTOL,FL,32321,0711,(850) 643-9542,STATE,OPEN,407,LIBERTY,12077,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00669147951997,808.861586421118,2.78331311965e-06
23,18,10004558,OKALOOSA WORK CAMP,3189 COLONEL GREG MALLOY RD,CRESTVIEW,FL,32539,6708,(850) 682-0931,STATE,OPEN,245,OKALOOSA,12091,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00505802685201,604.571813022273,1.62937840174e-06
24,19,10006653,CANYON HILLS,2519 WINDMILL DRIVE,SPEARFISH,SD,57583,NOT AVAILABLE,(605) 559-3501,STATE,OPEN,-999,LAWRENCE,46081,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.sd.gov/juvenile/JuvenilePrivatePlacement.aspx,1/9/2018,IMAGERY,2018/01/09 00:00:00,http://doc.sd.gov/juvenile/JuvenilePrivatePlacement.aspx,JUVENILE,-999,0.00304879107406,387.906183814852,3.18350974951e-07
25,20,10000403,BAKER WORK CAMP,20706 US HIGHWAY 90 WEST,SANDERSON,FL,32087,2359,(386) 719-6130,STATE,OPEN,284,BAKER,12003,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/02 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00527921402422,630.176339627192,1.69200357078e-06
26,21,10004075,MOREHOUSE PARISH JAIL,250 E WALNUT ST,BASTROP,LA,71220,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,MOREHOUSE,22067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mpso.net/mpsocorrectiondivision.html,3/15/2018,IMAGERY,2018/03/15 00:00:00,http://www.mpso.net/mpsocorrectiondivision.html,NOT AVAILABLE,-999,0.00251275771773,302.958340064402,3.88659927713e-07
27,22,10004333,BONNER COUNTY DETENTION CENTER,4001 N BOYER RD,SANDPOINT,ID,83864,NOT AVAILABLE,(208) 263-8417,COUNTY,OPEN,106,BONNER,16017,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bonnerso.org/index.php,2/28/2018,IMAGERY,2018/03/01 00:00:00,http://www.bonnerso.org/index.php,MAXIMUM,124,0.00359722154634,479.544105762627,6.94438748355e-07
28,23,10003525,SEVIER COUNTY JAIL,137 COMMERCE ST,SEVIERVILLE,TN,37862,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,194,SEVIER,47155,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html, http://www.seviercountysheriff.com/",3/31/2018,IMAGERY,2018/04/24 00:00:00,http://www.seviercountysheriff.com/,NOT AVAILABLE,214,0.00269738414951,334.324595975886,3.66068620549e-07
29,24,10002177,AVON PARK CORRECTIONAL INSTITUTION,8100 HIGHWAY 64 EAST,AVON PARK,FL,33825,NOT AVAILABLE,(863) 452-8801,STATE,OPEN,1027,POLK,12105,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/orginfo/facilitydir.html#4",9/30/2017,IMAGERY,2017/11/01 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,CLOSE,956,0.0195124239308,2302.74179231931,1.3095537607e-05
30,25,10000382,MADISON WORK CAMP,382 SW MCI WAY,MADISON,FL,32340,4430,(850) 973-5645,STATE,OPEN,292,MADISON,12079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00507320072484,607.242515866812,1.6029533253e-06
31,26,10000410,MAYO WORK CAMP,8976 US 27 W,MAYO,FL,32066,NOT AVAILABLE,(386) 294-4752,STATE,OPEN,304,LAFAYETTE,12067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.00615235181752,735.593929640727,2.35923955194e-06
32,27,10000420,RMC WORK CAMP,P.O. BOX 628,LAKE BUTLER,FL,32054,NOT AVAILABLE,(386) 496-4050,STATE,OPEN,431,UNION,12125,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/orginfo/facilitydir.html#4",9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,432,0.00677115842927,799.92995673726,2.74144147093e-06
33,28,10001804,MARSHALL COUNTY CORRECTIONAL FACILITY,833 WEST ST,HOLLY SPRINGS,MS,38635,NOT AVAILABLE,(662) 252-7111,STATE,OPEN,998,MARSHALL,28093,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.mdoc.ms.gov/Admin-Finance/Pages/Monthly-Facts.aspx, http://www.mtctrains.com/corrections/#locations",12/4/2017,IMAGERY,2017/12/08 00:00:00,http://www.mtctrains.com/corrections/#locations,MEDIUM,1076,0.0101194377532,1223.58401529339,6.54043435525e-06
34,29,10005643,PEMBINA COUNTY LAW ENFORCEMENT CENTER,308 COURTHOUSE DRIVE #2,CAVALIER,ND,58220,NOT AVAILABLE,(701) 265-4122,COUNTY,OPEN,5,PEMBINA,38067,USA,922140,CORRECTIONAL INSTITUTIONS,http://pembinacountynd.gov/county/departments/sheriff/,6/13/2017,IMAGERY,2018/04/04 00:00:00,http://pembinacountynd.gov/county/departments/sheriff/,MAXIMUM,18,0.00372965626188,516.26778857443,2.86609805271e-07
35,30,10002592,IOWA COUNTY JAIL,1205 N BEQUETTE ST,DODGEVILLE,WI,53533,NOT AVAILABLE,(608) 935-3314 EXT 2,COUNTY,OPEN,-999,IOWA,55049,USA,922140,CORRECTIONAL INSTITUTIONS,http://iowacounty.org/departments/sheriff/sheriff.shtml#about,5/8/2018,IMAGERY,2018/05/08 00:00:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00198653203974,247.905096440255,1.32089145096e-07
36,31,10000416,NEW RIVER CORRECTIONAL INSTITUTION,8000 NW 80TH PLACE,RAIFORD,FL,32083,NOT AVAILABLE,(904) 368-1500,STATE,OPEN,115,BRADFORD,12007,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/facilities/region2/210.html",9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/facilities/region2/210.html,CLOSE,1050,0.0116719601344,1408.13271478333,8.91639109369e-06
37,32,10005349,JAMES A MUSICK FACILITY,13502 MUSICK RD,IRVINE,CA,92618,NOT AVAILABLE,(949) 855-2600,COUNTY,OPEN,614,ORANGE,06059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.ocsd.org/divisions/custody",2/12/2018,IMAGERY,2018/02/12 00:00:00,http://www.ocsd.org/divisions/custody,MINIMUM,1322,0.0105119174579,1266.48872479661,3.05820695517e-06
38,33,10001821,WILKINSON COUNTY CORRECTIONAL FACILITY,2999 US HWY 61 N,WOODVILLE,MS,39669,NOT AVAILABLE,(601) 888-3199,STATE,OPEN,904,WILKINSON,28157,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.mdoc.ms.gov/Admin-Finance/Pages/Monthly-Facts.aspx, http://www.mtctrains.com/corrections/#locations",12/4/2017,IMAGERY,2017/12/08 00:00:00,http://www.mtctrains.com/corrections/#locations,CLOSE,900,0.00944026193743,1142.79268057495,5.98503985373e-06
39,34,10005689,BONNER COUNTY JUVENILE DETENTION CENTER,4002 SAMUELSON AVE,SANDPOINT,ID,83864,NOT AVAILABLE,(208) 263-1602,COUNTY,OPEN,-999,BONNER,16017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bonnercountyid.gov/departments/JusticeServices/justice-services,2/28/2018,IMAGERY,2018/03/01 00:00:00,https://www.bonnercountyid.gov/departments/JusticeServices/justice-services,JUVENILE,-999,0.00261798969223,345.593263400211,3.63977338393e-07
40,35,10000503,DESOTO WORK CAMP,13617 SE HWY 70,ARCADIA,FL,34266,NOT AVAILABLE,(863) 494-3727,STATE,OPEN,-999,DESOTO,12027,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,11/3/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.0053986623767,635.080050300454,1.80760313245e-06
41,36,10000518,LOXAHATCHEE ROAD PRISON,230 SUNSHINE RD,WEST PALM BEACH,FL,33411,3616,(561) 791-4760,STATE,OPEN,92,PALM BEACH,12099,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,-999,0.0061350647758,728.429281062577,2.27956947757e-06
42,37,10000457,SUMTER WORK CAMP,9858 COUNTY RD 476B,BUSHNELL,FL,33513,0667,(352) 569-6114,STATE,OPEN,287,SUMTER,12119,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,NOT AVAILABLE,100,0.00470358399618,557.964184435953,1.4204818779e-06
43,38,10004244,WALNUT GROVE YOUTH CORRECTIONAL FACILITY,1650 HWY 492,WALNUT GROVE,MS,39189,NOT AVAILABLE,(601) 253-2348,STATE,CLOSED,0,LEAKE,28079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.jacksonfreepress.com/news/2016/sep/15/walnut-grove-prison-officially-closed/,9/15/2016,IMAGERY,2017/12/08 00:00:00,http://www.mdoc.ms.gov/Pages/Facility-Locations.aspx,JUVENILE,1500,0.0108654749052,1299.05842807698,6.44567951368e-06
44,39,10000455,SUMTER CORRECTIONAL INSTITUTION AND BASIC TRAINING UNIT,9544 COUNTY RD 476B,BUSHNELL,FL,33513,0667,(352) 569-6100,STATE,OPEN,1284,SUMTER,12119,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/orginfo/facilitydir.html#4",9/30/2017,IMAGERY,2017/11/03 00:00:00,http://www.dc.state.fl.us/orginfo/facilitydir.html#4,CLOSE,1639,0.0211730501638,2524.7881435354,2.81752307239e-05
45,40,10002557,JACKSON COUNTY JAIL,30 N 3RD ST,BLACK RIVER FALLS,WI,54615,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,70,JACKSON,55053,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.jackson.wi.us/index.asp?Type=B_BASIC&SEC={F36F4D0A-D731-4DD2-BEA0-A9D5F213D9DD},4/5/2018,IMAGERY,2018/05/09 00:00:00,NOT AVAILABLE,MAXIMUM,-999,0.00179424978282,253.617325883346,1.49249600485e-07
46,41,10005346,THEO LACY FACILITY,501 THE CITY DRIVE SOUTH,ORANGE,CA,92868,NOT AVAILABLE,(714) 935-6940,COUNTY,OPEN,3249,ORANGE,06059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.ocsd.org/divisions/custody",2/12/2018,IMAGERY,2018/02/12 00:00:00,http://www.ocsd.org/divisions/custody,MAXIMUM,3442,0.00903647916754,1092.41237669684,4.63206782345e-06
47,42,10006654,OUR HOME - PARKSTON,103 W MAPLE ST,PARKSTON,SD,57336,NOT AVAILABLE,(605) 928-7907,STATE,OPEN,34,HUTCHINSON,46067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ourhomeinc.org/PREA.html,6/15/2016,IMAGERY,2018/01/09 00:00:00,http://www.ourhomeinc.org/index.html,JUVENILE,385,0.0037360717591,483.718068325205,4.21791858955e-07
48,43,10005654,RICHLAND COUNTY SHERIFF'S DEPARMENT,413 3RD AVENUE NORTH,WAHPETON,ND,58075,NOT AVAILABLE,(701) 642-7711,COUNTY,OPEN,-999,RICHLAND,38077,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.richland.nd.us/sheriff-jail,4/4/2018,IMAGERY,2018/04/04 00:00:00,http://www.co.richland.nd.us/sheriff-jail,MINIMUM,-999,0.00296123783554,391.204994533501,3.86444841371e-07
49,44,10003605,SOUTHWEST MULTI-COUNTY CORRECTION CENTER,66 MUSEUM DR,DICKINSON,ND,58601,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,STARK,38089,USA,922140,CORRECTIONAL INSTITUTIONS,http://swmccc.govoffice3.com/,4/4/2018,IMAGERY,2018/04/04 00:00:00,http://swmccc.govoffice3.com/,MINIMUM,118,0.00353957975658,471.491141184113,5.63781868097e-07
50,45,10001948,BONNEVILLE COUNTY JAIL / WORK RELEASE CENTER,900 ENVIRONMENTAL WAY,IDAHO FALLS,ID,83401,NOT AVAILABLE,(208) 529-1315,COUNTY,OPEN,399,BONNEVILLE,16019,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bonnevillesheriff.com/,2/28/2018,IMAGERY,2018/03/01 00:00:00,http://www.bonnevillesheriff.com/,NOT AVAILABLE,340,0.00667135607438,852.547100675309,1.19686448538e-06
51,46,10004084,NATCHITOCHES PARISH DETENTION CENTER,299 EDWINA DR,NATCHITOCHES,LA,71457,NOT AVAILABLE,(318) 357-9300,COUNTY,OPEN,502,NATCHITOCHES,22069,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.louisiana.gov/briefing-book,9/29/2017,IMAGERY,2018/03/15 00:00:00,https://npsheriff.org/,MEDIUM,515,0.00462308094928,558.24797633542,1.08857830083e-06
52,47,10005347,ORANGE COUNTY JUVENILE HALL,331 THE CITY DRIVE,ORANGE,CA,92868,NOT AVAILABLE,(714) 935-6660,COUNTY,OPEN,-999,ORANGE,06059,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ocgov.com/gov/probation/contact/institutions,2/12/2018,IMAGERY,2018/02/12 00:00:00,http://www.ocgov.com/gov/probation/contact/institutions,JUVENILE,434,0.0103705731634,1252.0770931556,5.03426593569e-06
53,48,10002190,BROWARD JUVENILE DETENTION CENTER,222 NW 22ND AVE,FT. LAUDERDALE,FL,33311,NOT AVAILABLE,(954) 467-4563,STATE,OPEN,-999,BROWARD,12011,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.djj.state.fl.us/programs-facilities/detention-centers,11/3/2017,IMAGERY,2017/11/03 00:00:00,http://www.djj.state.fl.us/programs-facilities/detention-centers,JUVENILE,102,0.00518293995952,595.96618405771,9.73354591661e-07
54,49,10003526,SEVIER COUNTY JAIL ANNEX,896 OLD KNOXVILLE HWY,SEVIERVILLE,TN,37862,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,324,SEVIER,47155,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html, http://www.seviercountysheriff.com/",3/31/2018,IMAGERY,2018/04/24 00:00:00,http://www.seviercountysheriff.com/,MINIMUM,356,0.00387981160942,476.004422836241,7.43527652505e-07
55,50,10001450,ALACHUA REGIONAL JUVENILE DETENTION CENTER,3440 NE 39TH AVE,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 955-2105,STATE,OPEN,40,ALACHUA,12001,USA,922140,CORRECTIONAL INSTITUTIONS,"https://nces.ed.gov/ccd/schoolsearch/, http://www.djj.state.fl.us/programs-facilities/detention-centers",10/31/2015,IMAGERY,2017/11/06 00:00:00,http://www.djj.state.fl.us/programs-facilities/detention-centers,JUVENILE,48,0.00376662811705,449.714906328064,6.32573061216e-07
